Captured Time,Latitude,Longitude,Value,Unit,Device ID
2025-04-10 01:35:56,52.4276,4.9711,21.0,cpm,205.0
2025-04-10 01:36:53.027,38.3151,-123.0752,84.0,cpm,201051.0
2025-04-10 01:35:36,51.0634,11.7586,15.0,cpm,209.0
2025-04-10 01:35:29,51.9807,9.2345,14.0,cpm,108.0
2025-04-10 01:35:23,42.4347,-87.9012,11.0,cpm,216.0
2025-04-10 01:36:20,35.26828,136.2493,16.0,cpm,100122.0
2025-04-10 01:36:19,35.26828,136.2493,0.0,cpm,100121.0
2025-04-10 01:36:18,22.28482,114.14,81.0,cpm,157.0
2025-04-10 01:36:14,37.752099,140.470826,0.0,cpm,100322.0
2025-04-10 01:36:13,37.752099,140.470826,35.0,cpm,100321.0
2025-04-10 01:36:05,34.48258,136.16306,41.0,cpm,62007.0
2025-04-10 01:34:58,42.4347,-87.9012,13.0,cpm,216.0
2025-04-10 01:34:55,52.4276,4.9711,16.0,cpm,205.0
2025-04-10 01:35:48,37.7875,140.5524,15.0,cpm,100402.0
2025-04-10 01:35:48.011,38.3151,-123.0752,99.0,cpm,201051.0
2025-04-10 01:35:47.863,43.6045,1.444,22.0,cpm,238.0
2025-04-10 01:35:42,37.7875,140.5524,46.0,cpm,100401.0
2025-04-10 01:35:33,47.65447,8.60455,38.0,cpm,63521.0
2025-04-10 01:34:34,51.0634,11.7586,16.0,cpm,209.0
2025-04-10 01:34:27,51.9807,9.2345,11.0,cpm,108.0
2025-04-10 01:34:20,42.4347,-87.9012,12.0,cpm,216.0
2025-04-10 01:35:05,34.48251,136.16298,36.0,cpm,62007.0
2025-04-10 01:35:03,37.4932,139.93305,46.0,cpm,101.0
2025-04-10 01:35:00,34.48265,136.16314,34.0,cpm,65006.0
2025-04-10 01:33:55,42.4347,-87.9012,10.0,cpm,216.0
2025-04-10 01:34:58,34.995197,135.764331,46.0,cpm,74.0
2025-04-10 01:34:55,35.615814,139.625711,0.0,cpm,100182.0
2025-04-10 01:33:54,52.4276,4.9711,19.0,cpm,205.0
2025-04-10 01:34:52,43.8282,-79.01145,31.0,cpm,63209.0
2025-04-10 01:34:50,35.615814,139.625711,54.0,cpm,100181.0
2025-04-10 01:34:46,37.54562,140.398995,13.0,cpm,100242.0
2025-04-10 01:34:45,37.54562,140.398995,38.0,cpm,100241.0
2025-04-10 01:34:42.987,38.3151,-123.0752,61.0,cpm,201051.0
2025-04-10 01:33:32,51.0634,11.7586,21.0,cpm,209.0
2025-04-10 01:34:29,37.366713,140.53097,15.0,cpm,100072.0
2025-04-10 01:34:29,37.366713,140.53097,1.0,cpm,100071.0
2025-04-10 01:33:20,51.9807,9.2345,16.0,cpm,108.0
2025-04-10 01:33:15,42.4347,-87.9012,11.0,cpm,216.0
2025-04-10 01:34:18,37.7233303,140.4767968,14.0,cpm,100422.0
2025-04-10 01:34:12,37.7233303,140.4767968,37.0,cpm,100421.0
2025-04-10 01:34:08,31.833193,130.301922,16.0,cpm,100222.0
2025-04-10 01:34:08,31.833193,130.301922,34.0,cpm,100221.0
2025-04-10 01:34:06,35.74591,139.91815,11.0,cpm,100162.0
